apache=httpd

tomcat	v6.0.32	2011-02-02
tomcat	v6.0.26	2010-03-11
tomcat	v6.0.30	2011-01-10
tomcat	v6.0.20	2009-05-29
tomcat	v6.0.36	2012-10-19
tomcat	v6.0.35	2012-06-13
tomcat	v6.0.4-alpha	2006-12-08
tomcat	v6.0.10	2007-02-26
tomcat	v6.0.13	2007-05-14
tomcat	v6.0.0-alpha	2006-10-21
tomcat	v6.0.14	2007-08-09
tomcat	v6.0.37	2013-05-03
tomcat	v6.0.16	2008-02-06
tomcat	v6.0.7-beta	2007-01-09
tomcat	v6.0.18	2008-07-30
tomcat	v6.0.41	2014-05-23
tomcat	v6.0.43	2014-11-22
tomcat	v6.0.33	2011-08-18
tomcat	v5.5.17-beta	2006-04-14
tomcat	v5.5.12	2005-09-23
tomcat	v5.5.36	2012-10-09
tomcat	v5.5.17	2006-04-14
tomcat	v5.5.16	2006-03-16
tomcat	v5.5.31	2010-09-16
tomcat	v5.5.30	2010-07-08
tomcat	v5.5.33	2011-02-08
tomcat	v5.5.32	2011-01-23
tomcat	v5.5.26	2008-02-04
tomcat	v5.5.27	2008-09-05
tomcat	v5.5.25	2007-09-07
tomcat	v5.5.28	2010-04-20
tomcat	v5.5.16-beta	2006-03-16
tomcat	v5.5.35	2012-06-13
tomcat	v5.5.29	2010-04-20
tomcat	v5.5.23	2007-03-08
tomcat	v5.5.20	2006-09-30
tomcat	v5.0.30	2004-11-24
tomcat	v5.5.20-original	2007-01-02
tomcat	v5.0.30-beta	2004-11-24
tomcat	v5.0.28	2004-08-29
tomcat	v5.5.34	2011-09-18
tomcat	v4.1.30-alpha	2004-01-25
tomcat	v4.1.40	2009-06-25
tomcat	v4.1.28-alpha	2003-10-07
tomcat	v4.1.29-alpha	2003-10-27
tomcat	v4.1.29	2003-10-27
tomcat	v4.1.39	2008-12-02
tomcat	v4.1.36	2007-04-07
tomcat	v4.1.37	2008-02-18
tomcat	v4.1.27	2006-06-17
tomcat	v4.1.32	2006-07-04
tomcat	v4.1.34	2006-09-04
tomcat	v4.1.30	2004-01-25
tomcat	v4.1.31	2004-10-11
tomcat	v3.3.2-patches	2007-07-24
tomcat	v3.3.2	2004-03-09
tomcat	5.9K	2003-09-06

lighttpd	1.4.13	2007-01-29
lighttpd	1.4.29	2011-07-03
lighttpd	1.4.33	2013-09-27
lighttpd	1.4.16	2007-07-24
lighttpd	1.4.17	2007-08-29
lighttpd	1.4.15	2007-04-13
lighttpd	1.4.30	2011-12-18
lighttpd	1.4.22	2009-03-07
lighttpd	1.4.32	2012-11-21
lighttpd	1.4.20	2008-09-30
lighttpd	1.4.34	2014-01-20
lighttpd	1.4.35	2014-03-11
lighttpd	1.4.25	2009-11-21
lighttpd	1.4.26	2010-02-07
lighttpd	1.4.19	2008-03-11
lighttpd	1.4.28	2010-08-22
lighttpd	1.4.24	2009-10-25
lighttpd	1.4.11	2007-02-16
lighttpd	1.4.13-1	2007-02-21
lighttpd	1.4.23	2009-06-19
lighttpd	1.4.27	2010-08-13
lighttpd	1.4.21-r2389	2009-02-05
lighttpd	1.4.31	2012-05-31
lighttpd	1.4.21	2009-02-16
lighttpd	1.4.18	2007-09-09

nginx	0.6.8	2007-08-20
nginx	0.6.9	2007-08-28
nginx	0.6.6	2007-07-30
nginx	0.6.7	2007-08-15
nginx	0.6.4	2007-07-17
nginx	0.6.5	2007-07-23
nginx	0.6.2	2007-07-09
nginx	0.6.3	2007-07-12
nginx	0.6.0	2007-06-14
nginx	0.6.1	2007-06-17
nginx	0.5.37	2008-07-07
nginx	0.5.36	2008-05-04
nginx	0.5.35	2008-01-08
nginx	0.5.34	2007-12-13
nginx	0.5.33	2007-11-07
nginx	0.5.32	2007-09-24
nginx	0.5.31	2007-08-15
nginx	0.5.30	2007-07-30
nginx	1.5.3	2013-07-30
nginx	1.0.3	2011-05-25
nginx	0.5.38	2009-09-14
nginx	0.1.19	2005-02-16
nginx	1.0.2	2011-05-10
nginx	0.3.12	2005-11-26
nginx	1.0.5	2011-07-19
nginx	1.0.4	2011-06-01
nginx	1.0.7	2011-09-30
nginx	1.0.6	2011-08-29
nginx	1.5.0	2013-05-07
nginx	1.5.1	2013-06-04
nginx	0.2.2	2005-09-30
nginx	0.2.3	2005-09-30
nginx	0.2.0	2005-09-23
nginx	0.2.1	2005-09-23
nginx	0.2.6	2005-10-05
nginx	1.2.9	2013-05-13
nginx	0.2.4	2005-10-03
nginx	0.2.5	2005-10-04
nginx	1.2.8	2013-04-02
nginx	1.7.10	2015-02-10
nginx	1.5.4	2013-08-27
nginx	0.3.19	2005-12-28
nginx	1.5.5	2013-09-17
nginx	0.3.18	2005-12-26
nginx	1.5.6	2013-10-01
nginx	1.5.7	2013-11-19
nginx	1.1.8	2011-11-14
nginx	1.5.8	2013-12-17
nginx	0.4.8	2006-10-11
nginx	0.4.9	2006-10-13
nginx	1.5.9	2014-01-22
nginx	0.4.4	2006-10-02
nginx	0.4.5	2006-10-02
nginx	0.4.6	2006-10-06
nginx	0.4.7	2006-10-10
nginx	0.4.0	2006-08-30
nginx	0.4.1	2006-09-14
nginx	0.4.2	2006-09-14
nginx	0.4.3	2006-09-26
nginx	1.0.15	2012-04-12
nginx	1.0.14	2012-03-15
nginx	1.5.10	2014-02-04
nginx	1.2.0	2012-04-23
nginx	0.5.19	2007-04-24
nginx	0.5.18	2007-04-19
nginx	1.0.13	2012-03-05
nginx	1.0.12	2012-02-06
nginx	0.5.15	2007-03-19
nginx	0.5.14	2007-02-23
nginx	0.5.17	2007-04-02
nginx	0.5.16	2007-03-26
nginx	0.5.11	2007-02-05
nginx	0.5.10	2007-01-25
nginx	0.5.13	2007-02-19
nginx	0.5.12	2007-02-12
nginx	1.7.2	2014-06-17
nginx	1.7.4	2014-08-05
nginx	1.1.17	2012-03-15
nginx	1.1.14	2012-01-30
nginx	1.7.0	2014-04-24
nginx	1.1.15	2012-02-15
nginx	0.8.52	2010-09-28
nginx	0.3.49	2006-05-31
nginx	1.3.6	2012-09-12
nginx	1.1.10	2011-11-30
nginx	1.1.11	2011-12-12
nginx	1.7.8	2014-12-02
nginx	1.1.13	2012-01-16
nginx	1.7.9	2014-12-23
nginx	0.3.28	2006-02-16
nginx	0.3.29	2006-02-20
nginx	0.3.26	2006-02-03
nginx	0.3.27	2006-02-08
nginx	0.3.24	2006-02-01
nginx	0.3.25	2006-02-01
nginx	0.3.22	2006-01-17
nginx	0.3.23	2006-01-24
nginx	0.3.20	2006-01-11
nginx	0.3.21	2006-01-16
nginx	1.1.18	2012-03-28
nginx	1.7.3	2014-07-08
nginx	1.1.19	2012-04-12
nginx	1.3.7	2012-10-02
nginx	0.1.20	2005-02-17
nginx	1.1.0	2011-08-01
nginx	0.1.21	2005-02-22
nginx	0.1.22	2005-02-22
nginx	0.1.23	2005-03-01
nginx	0.1.24	2005-03-04
nginx	0.1.25	2005-03-19
nginx	0.7.22	2008-11-20
nginx	0.7.23	2008-11-27
nginx	0.7.20	2008-11-10
nginx	0.7.21	2008-11-11
nginx	0.7.26	2008-12-08
nginx	0.7.27	2008-12-15
nginx	0.7.24	2008-12-01
nginx	0.7.25	2008-12-08
nginx	1.3.10	2012-12-25
nginx	1.3.11	2013-01-10
nginx	0.7.28	2008-12-22
nginx	0.7.29	2008-12-24
nginx	1.3.14	2013-03-05
nginx	1.3.15	2013-03-26
nginx	1.3.16	2013-04-16
nginx	0.6.10	2007-09-03
nginx	0.6.11	2007-09-05
nginx	0.6.12	2007-09-21
nginx	0.6.13	2007-09-24
nginx	0.6.14	2007-10-15
nginx	0.6.15	2007-10-22
nginx	0.6.16	2007-10-29
nginx	0.6.17	2007-11-15
nginx	0.6.18	2007-11-27
nginx	0.6.19	2007-11-27
nginx	1.3.5	2012-08-21
nginx	1.4.5	2014-02-11
nginx	1.4.4	2013-11-19
nginx	1.4.7	2014-03-18
nginx	1.4.6	2014-03-04
nginx	1.3.2	2012-06-26
nginx	1.4.1	2013-05-07
nginx	1.4.0	2013-04-24
nginx	1.4.3	2013-10-08
nginx	1.4.2	2013-07-17
nginx	0.8.34	2010-03-03
nginx	0.8.35	2010-04-01
nginx	0.8.36	2010-04-22
nginx	0.8.37	2010-05-17
nginx	0.8.30	2009-12-15
nginx	0.8.31	2009-12-23
nginx	0.8.32	2010-01-11
nginx	0.8.33	2010-02-01
nginx	0.8.38	2010-05-24
nginx	0.8.39	2010-05-31
nginx	0.7.48	2009-04-06
nginx	0.7.49	2009-04-06
nginx	0.7.40	2009-03-09
nginx	0.7.41	2009-03-11
nginx	0.7.42	2009-03-16
nginx	0.7.43	2009-03-18
nginx	0.7.44	2009-03-23
nginx	0.7.45	2009-03-26
nginx	0.7.46	2009-03-30
nginx	0.7.47	2009-04-01
nginx	0.6.38	2009-06-22
nginx	0.6.39	2009-09-14
nginx	0.6.36	2009-04-02
nginx	0.6.37	2009-05-18
nginx	0.6.34	2008-11-27
nginx	0.6.35	2009-01-26
nginx	0.6.32	2008-07-07
nginx	0.6.33	2008-11-20
nginx	0.6.30	2008-04-29
nginx	0.6.31	2008-05-12
nginx	0.8.41	2010-06-15
nginx	0.8.40	2010-06-07
nginx	0.8.43	2010-06-30
nginx	0.8.42	2010-06-21
nginx	0.8.45	2010-07-13
nginx	0.8.44	2010-07-05
nginx	0.8.47	2010-07-28
nginx	0.8.46	2010-07-19
nginx	0.8.49	2010-08-09
nginx	0.8.48	2010-08-03
nginx	0.3.55	2006-07-28
nginx	0.3.54	2006-07-11
nginx	0.3.53	2006-07-07
nginx	0.3.52	2006-07-04
nginx	0.3.51	2006-07-03
nginx	0.3.50	2006-06-28
nginx	0.1.33	2005-05-23
nginx	0.1.32	2005-05-19
nginx	0.1.31	2005-05-16
nginx	0.1.30	2005-05-14
nginx	0.1.37	2005-06-23
nginx	0.1.36	2005-06-15
nginx	0.1.35	2005-06-07
nginx	0.1.34	2005-05-26
nginx	0.1.39	2005-07-14
nginx	0.1.38	2005-07-08
nginx	0.5.24	2007-06-06
nginx	0.5.25	2007-06-11
nginx	0.5.26	2007-06-17
nginx	0.5.27	2007-07-09
nginx	0.5.20	2007-05-07
nginx	0.5.21	2007-05-28
nginx	0.5.22	2007-05-29
nginx	0.5.23	2007-06-04
nginx	0.5.28	2007-07-17
nginx	0.5.29	2007-07-23
nginx	1.7.5	2014-09-16
nginx	0.8.12	2009-08-31
nginx	0.8.13	2009-08-31
nginx	0.8.10	2009-08-24
nginx	0.8.11	2009-08-28
nginx	0.8.16	2009-09-22
nginx	0.8.17	2009-09-28
nginx	0.8.14	2009-09-07
nginx	0.8.15	2009-09-14
nginx	0.8.18	2009-10-06
nginx	0.8.19	2009-10-06
nginx	0.7.66	2010-06-07
nginx	0.7.67	2010-06-15
nginx	0.7.64	2009-11-16
nginx	0.7.65	2010-02-01
nginx	0.7.62	2009-09-14
nginx	0.7.63	2009-10-26
nginx	0.7.60	2009-06-15
nginx	0.7.61	2009-06-22
nginx	1.1.1	2011-08-22
nginx	0.7.68	2010-12-14
nginx	0.7.69	2011-07-19
nginx	0.3.59	2006-08-16
nginx	0.3.58	2006-08-14
nginx	0.3.57	2006-08-09
nginx	0.3.56	2006-08-04
nginx	1.0.1	2011-05-03
nginx	1.3.8	2012-10-30
nginx	1.0.0	2011-04-12
nginx	1.1.12	2011-12-26
nginx	1.3.9	2012-11-27
nginx	0.3.9	2005-11-10
nginx	0.3.8	2005-11-09
nginx	0.3.13	2005-12-05
nginx	0.1.18	2005-02-09
nginx	0.3.11	2005-11-15
nginx	0.3.10	2005-11-15
nginx	0.3.17	2005-12-18
nginx	0.3.16	2005-12-16
nginx	0.3.15	2005-12-07
nginx	0.3.14	2005-12-05
nginx	0.1.11	2004-12-02
nginx	0.1.10	2004-11-26
nginx	0.1.13	2004-12-21
nginx	0.1.12	2004-12-06
nginx	0.1.15	2005-01-19
nginx	0.1.14	2005-01-18
nginx	0.1.17	2005-02-03
nginx	0.1.16	2005-01-25
nginx	1.7.6	2014-09-30
nginx	0.3.1	2005-10-10
nginx	0.4.14	2006-11-27
nginx	0.3.0	2005-10-07
nginx	0.4.12	2006-10-31
nginx	0.4.13	2006-11-15
nginx	0.4.10	2006-10-23
nginx	0.4.11	2006-10-25
nginx	0.7.17	2008-09-15
nginx	0.7.16	2008-09-08
nginx	0.7.15	2008-09-08
nginx	0.7.14	2008-09-01
nginx	0.7.13	2008-08-26
nginx	0.7.12	2008-08-26
nginx	0.7.11	2008-08-18
nginx	0.7.10	2008-08-13
nginx	0.7.19	2008-10-13
nginx	0.7.18	2008-10-13
nginx	1.6.2	2014-09-16
nginx	0.1.26	2005-03-22
nginx	1.6.0	2014-04-24
nginx	1.7.1	2014-05-27
nginx	1.3.12	2013-02-05
nginx	1.5.12	2014-03-18
nginx	1.3.13	2013-02-19
nginx	1.1.4	2011-09-20
nginx	1.5.13	2014-04-08
nginx	0.1.42	2005-08-23
nginx	0.1.43	2005-08-30
nginx	0.1.40	2005-07-22
nginx	0.1.41	2005-07-25
nginx	0.1.44	2005-09-06
nginx	0.1.45	2005-09-08
nginx	1.5.11	2014-03-04
nginx	0.1.27	2005-03-28
nginx	1.0.11	2011-12-15
nginx	1.0.10	2011-11-15
nginx	0.3.39	2006-04-17
nginx	0.3.38	2006-04-14
nginx	1.1.5	2011-10-05
